feature,importance
assessment_most_common_title_accuracy_group,112.39999999999998
accuracy_rate_std,94.1
cnt_event_code_4070_sum,88.5
accuracy_rate_mean,79.8
event_count_std,76.80000000000001
assessment_title,76.19999999999999
assessment_previous_correct_attempts_mean,66.7
event_count_mean,65.0
uncorrect_attempts_mean,63.10000000000001
assessment_previous_accuracy_rate_mean,62.5
game_time_std,61.80000000000001
assessment_world,57.900000000000006
assessment_hour,56.5
game_time_mean,56.0
assessment_previous_uncorrect_attempts_mean,51.2
game_time_max,50.099999999999994
correct_attempts_mean,48.599999999999994
game_time_median,46.599999999999994
assessment_previous_event_count_median,46.39999999999999
cnt_event_code_4020_sum,45.2
assessment_dayofweek,44.900000000000006
cnt_event_code_4030_sum,43.800000000000004
event_count_median,43.199999999999996
event_data_prop_84538528_duration_mean,43.1
cnt_Clip_sum,42.800000000000004
uncorrect_attempts_std,40.1
event_count_max,38.699999999999996
assessment_previous_event_count_mean,38.3
cnt_event_code_4035_sum,38.1
event_data_prop_e694a35b_duration_mean,37.9
cnt_event_code_3020_sum,37.099999999999994
assessment_previous_accuracy_rate_std,36.0
assessment_previous_accuracy_rate_sum,35.8
cnt_event_code_3021_sum,34.9
accuracy_group_0,34.199999999999996
correct_attempts_std,33.0
event_data_prop_84538528_duration_std,32.0
event_data_prop_beb0a7b9_total_duration_std,30.999999999999993
event_data_prop_5c2f29ca_duration_std,30.4
event_data_prop_c58186bf_duration_mean,30.0
assessment_previous_game_time_median,29.9
cnt_event_code_3121_sum,29.599999999999994
event_count_sum,29.400000000000002
assessment_previous_game_time_mean,29.2
game_time_sum,28.200000000000003
cnt_event_code_4025_sum,28.099999999999998
cnt_event_code_3010_sum,27.099999999999998
event_data_prop_beb0a7b9_total_duration_mean,27.0
event_data_prop_e694a35b_duration_std,27.0
cnt_event_code_4040_sum,26.600000000000005
event_data_prop_36fa3ebe_misses_mean,26.6
event_data_prop_5c2f29ca_duration_mean,26.6
assessment_previous_event_count_sum,26.300000000000004
event_data_prop_3bf1cf26_duration_mean,26.0
event_data_prop_36fa3ebe_misses_std,25.900000000000002
cnt_event_code_2000_sum,25.9
event_data_prop_562cec5f_duration_std,25.5
assessment_previous_accuracy_rate_median,25.400000000000002
event_data_prop_bdf49a58_duration_std,25.4
cnt_event_code_2030_sum,24.799999999999997
event_data_prop_d185d3ea_duration_mean,24.5
event_data_prop_ca11f653_misses_mean,24.400000000000002
assessment_previous_correct_attempts_std,24.4
event_data_prop_fcfdffb6_duration_mean,24.4
event_data_prop_28520915_misses_mean,24.3
event_data_prop_c58186bf_duration_std,23.700000000000003
assessment_previous_game_time_sum,23.700000000000003
event_data_prop_4a09ace1_duration_mean,23.4
event_data_prop_b2dba42b_total_duration_mean,23.3
cnt_CRYSTALCAVES_sum,23.1
assessment_previous_event_count_max,23.1
event_data_prop_30614231_duration_std,22.799999999999997
event_data_prop_67439901_total_duration_mean,22.6
event_data_prop_2dcad279_duration_max,22.5
event_data_prop_d185d3ea_duration_std,22.4
event_data_prop_a8a78786_duration_mean,22.4
event_data_prop_49ed92e9_total_duration_mean,22.299999999999997
event_data_prop_828e68f9_duration_mean,22.2
cnt_TREETOPCITY_sum,22.0
event_data_prop_5f0eb72c_duration_mean,21.900000000000006
event_data_prop_1bb5fbdb_duration_mean,21.900000000000002
cnt_event_code_4100_sum,21.700000000000003
event_data_prop_e9c52111_duration_mean,21.7
accuracy_rate_sum,21.5
event_data_prop_923afab1_total_duration_mean,21.1
cnt_event_code_2010_sum,20.9
